Email Name,Send Date (Your time zone),Campaign,Delivered,Opened,Clicked,Unsubscribed
AUT_GrantRiven_LE_26 - Survey first time collectors (LE),2026-04-14 16:22:56,GrantRiven_LE_26,1,1,0,0
140426_TRNS_MaurizioC_Rev_25 - New estimated dispatch date (batch 1 new),2026-04-14 15:00:42,MaurizioC_Rev_25,107,48,4,0
140426_TRNS_MaurizioC_Rev_25 - On track (remaining batches),2026-04-14 15:00:21,MaurizioC_Rev_25,767,344,6,0
140426_GEN_LucianFreud_TL_26 - Now Live (TL Non-flow),2026-04-14 14:00:49,LucianFreud_TL_26,134439,16324,2680,562
AUT_LucianFreud_TL_26 - Now Live (TL flow),2026-04-14 13:50:21,LucianFreud_TL_26,1136,266,167,6
130426_GEN_Maurizio_Therapy_26 - Announcement (LE),2026-04-13 17:00:48,Maurizio_Therapy_26,122418,14435,1879,606
130426_INS_LucianFreud_TL_26 - Early Access for Insiders (Sam),2026-04-13 14:00:31,INSIDERSEA,690,185,32,0
130426_INS_LucianFreud_TL_26 - Early Access for Insiders (Curtis),2026-04-13 14:00:05,INSIDERSEA,147,41,6,0
130426_CUS_LucianFreud_TL_26 - Early Access for PP (TL Non-flow),2026-04-13 14:00:43,LucianFreud_TL_26,215,63,16,0
AUT_LucianFreud_TL_26 - Early Access (TL Flow),2026-04-13 11:42:31,LucianFreud_TL_26,1090,323,187,5
100426_CUS_Maurizio_Therapy_26 - Early Access (LE),2026-04-10 15:00:49,Maurizio_Therapy_26,7427,2137,938,90
100426_INS_Maurizio_Therapy_26 - Early Access for Insiders (Curtis),2026-04-10 15:00:19,INSIDERSEA,164,45,25,0
100426_INS_Maurizio_Therapy_26 - Early Access for Insiders (Sam),2026-04-10 15:00:46,INSIDERSEA,779,223,65,0
100426_Survey_Completion_26 - Q1 Winner,2026-04-10 11:59:06,Survey_Completion,1,1,0,0
090426_CUS_Paulnsect_Repeat_25 - Announcement (LE),2026-04-09 17:00:21,Paulnsect_Repeat_25,26116,4138,708,100
AUT_Maurizio_NT_26 - Design week breakfast,2026-04-09 17:00:23,Maurizio_NT26,2077,546,163,13
090426_TRNS_AiWeiwei_NVase_25 - Delay (batch 1),2026-04-09 16:00:29,AiWeiwei_NVase_25,52,25,0,0
090426_TRNS_LucTuymans_LE_26 - Preparing for dispatch (Unframed),2026-04-09 16:00:33,LucTuymans_LE_26,40,22,2,0
090426_TRNS_TomasSanchez_TL_26 - Signing PP (framed),2026-04-09 16:00:25,TomasSanchez_TL_26,179,89,10,0
090426_TRNS_AiWeiwei_SelfPortrait_26 - Signing in progress (All),2026-04-09 16:00:14,AiWeiwei_SelfPortrait_26,109,51,2,0
090426_TRNS_LucTuymans_LE_26 - Framing in progress (framed),2026-04-09 16:00:05,LucTuymans_LE_26,49,31,0,0
090426_TRNS_TomasSanchez_TL_26 - Signing PP (unframed),2026-04-09 16:00:09,TomasSanchez_TL_26,435,196,4,0
AUT_LucianFreud_TL_26 - Framing deep dive 3,2026-04-09 11:36:35,LucianFreud_TL_26,673,167,51,2
080426_GrantRiven_LE_26 - Last chance (LE),2026-04-08 17:00:03,GrantRiven_LE_26,884,250,77,0
080426_GEN_GraysonPerry_TL_25 - Announcement (Artist & Editions subscribers),2026-04-08 14:00:49,GraysonPerry_TL_25,178,59,33,1
080426_CUS_SALES Curtis - NON US - APRIL Monthly Preview,2026-04-08 14:00:53,MONTHLYPREV,118,32,19,0
080426_CUS_SALES Curtis - US - APRIL Monthly Preview,2026-04-08 14:00:04,MONTHLYPREV,39,12,5,0
080426_CUS_SALES Sam - US - APRIL Monthly Preview,2026-04-08 14:00:46,MONTHLYPREV,499,200,130,0
080426_CUS_SALES Sam - Non US - APRIL Monthly Preview,2026-04-08 14:00:29,MONTHLYPREV,876,366,241,1
AUT_GraysonPerry_TL_25 - TL Education (TL Flow),2026-04-08 11:48:42,GraysonPerry_TL_25,1569,327,84,11
AUT_GraysonPerry_TL_25 - Welcome (TL FLow),2026-04-08 11:28:09,GraysonPerry_TL_25,1996,356,80,18
080426_GEN_GraysonPerry_TL_25 - Announcement (TL Non-flow - Plain text),2026-04-08 10:46:31,GraysonPerry_TL_25,32280,4999,2062,139
080426_GEN_GraysonPerry_TL_25 - Announcement (TL Non-flow),2026-04-08 10:24:04,GraysonPerry_TL_25,97482,12524,2043,460
070426_CUS_Incorrect_link - Apology,2026-04-07 17:45:31,Paulnsect_Repeat_25,2343,722,476,2
AUT_GraysonPerry_TL_25 - Signup Confirmation (TL Flow),2026-04-07 17:12:36,GraysonPerry_TL_25,2962,885,261,21
070426_GEN_ShirinNeshat_TL_26 - Announcement (Artist & editions subscribers),2026-04-07 17:00:15,ShirinNeshat_TL_26,51,20,14,0
070426_INS_Paulnsect_Repeat_25 - Early Access for Insiders (Curtis),2026-04-07 17:00:02,INSIDERSEA,157,47,22,0
070426_INS_Paulnsect_Repeat_25 - Early Access for Insiders (Sam),2026-04-07 17:00:13,INSIDERSEA,757,246,75,0
AUT_ShirinNeshat_TL_26 - Missed launch (TL Flow),2026-04-07 16:56:51,ShirinNeshat_TL_26,20,3,0,0
070426_CUS_Paulnsect_Repeat_25 - Early Access (LE),2026-04-07 16:51:28,Paulnsect_Repeat_25,2344,581,254,4
070426_CUS_Paulnsect_Repeat_25 - Early Access (Plain text test),2026-04-07 16:48:14,Paulnsect_Repeat_25,2344,612,361,1
AUT_GraysonPerry_TL_25 - Re-subscribe to artists & editions,2026-04-07 16:33:23,GraysonPerry_TL_25,57,27,1,25
070426_TRNS_ManRay_TL_25 - Preparing for dispatch (Unframed),2026-04-07 16:00:41,ManRay_TL_25,185,67,1,0
AUT_ShirinNeshat_TL_26 - Welcome (TL FLow),2026-04-07 15:57:59,ShirinNeshat_TL_26,494,118,22,5
070426_TRNS_JeanMichel_LE_25 - Production in progress,2026-04-07 14:00:33,JeanMichel_LE_25,116,46,2,0
070426_GEN_ShirinNeshat_TL_26 - Announcement (TL Non-flow),2026-04-07 13:53:15,ShirinNeshat_TL_26,126111,15105,2344,569
AUT_Maurizio_NonaOra_26 - Hotline announcement,2026-04-03 15:00:52,Maurizio_NonaOra_26,131136,15010,956,619
020426_GEN_Maurizio_NonaOra_26 - Announcement (LE),2026-04-02 15:00:18,Maurizio_NonaOra_26,131175,17434,2336,598
AUT_ShirinNeshat_TL_26 - TL Education (TL Flow),2026-04-01 18:05:11,ShirinNeshat_TL_26,410,106,30,3
AUT_ShirinNeshat_TL_26 - Signup Confirmation (TL Flow),2026-04-01 16:59:09,ShirinNeshat_TL_26,942,308,74,3
AUT_ShirinNeshat_TL_26 - Re-subscribe to artists & editions,2026-04-01 16:38:32,ShirinNeshat_TL_26,17,8,0,7
AUT_LucianFreud_TL_26 - Deep dive 2 (Make–Ready BTS),2026-04-01 10:44:18,LucianFreud_TL_26,1031,232,85,6
010426_CUS_Maurizio_NonaOra_26 - Early Access for Insiders (Curtis),2026-03-31 17:00:20,INSIDERSEA,157,58,30,0
010426_CUS_Maurizio_NonaOra_26 - Early Access for Insiders (Sam),2026-03-31 17:00:46,INSIDERSEA,759,241,100,0
AUT_LucTuymans_LE_26 - Non-purchaser survey (LE),2026-03-31 17:03:21,LucTuymans_LE_26,231,61,23,3
310326_TRNS_MarinaAbr-1502 - Signing PP (unframed),2026-03-31 17:00:14,MarinaAbr-1502,623,315,12,0
310326_TRNS_MarinaAbr-1502 - Signing PP (framed),2026-03-31 17:00:32,MarinaAbr-1502,408,162,9,0
AUT_LucTuymans_LE_26 - Survey repeat buyers (LE),2026-03-31 16:58:36,LucTuymans_LE_26,34,24,11,0
AUT_LucTuymans_LE_26 - Survey first time collectors (LE),2026-03-31 16:56:18,LucTuymans_LE_26,45,33,26,0
310326_GEN_AiWeiwei_FingerSE_25 - Announcement,2026-03-31 14:00:37,AiWeiwei_FingerSE_25,130175,17274,2365,616
300326_LucTuymans_LE_26 - Last chance (LE),2026-03-30 16:00:57,LucTuymans_LE_26,889,343,129,1
310326_CUS_Maurizio_NonaOra_26 - Early Access (Plain text test),2026-03-30 15:41:56,Maurizio_NonaOra_26,3022,1175,833,17
260326_CUS_AiWeiwei_FingerSE_25 - Early Access (Plain text test),2026-03-30 15:39:46,AiWeiwei_FingerSE_25,3696,926,573,17
310326_CUS_Maurizio_NonaOra_26 - Early Access (LE),2026-03-30 15:36:02,Maurizio_NonaOra_26,2953,1036,620,28
AUT_Gen_Sign_Up - Welcome 4 (FLow),2026-03-30 15:14:41,Welcome_Evergreen,1323,213,12,16
260326_CUS_AiWeiwei_FingerSE_25 - Early Access (LE),2026-03-30 14:16:34,AiWeiwei_FingerSE_25,10466,2358,807,51
260326_INS_AiWeiwei_FingerSE_25 - Early Access for Insiders (Sam),2026-03-30 14:00:41,INSIDERSEA,777,240,81,0
260326_INS_AiWeiwei_FingerSE_25 - Early Access for Insiders (Curtis),2026-03-30 14:00:24,INSIDERSEA,164,47,23,0
260326_TRNS_JamesJean_Sun_25 - Preparing for dispatch (Sculpture & print),2026-03-26 17:00:42,JamesJean_Sun_25,175,89,2,0
260326_TRNS_EmCooper_TL_25 - Preparing for dispatch (Unframed),2026-03-26 14:00:45,EmCooper_TL_25,19,9,0,0
260326_TRNS_EmCooper_TL_25 - Preparing for dispatch (Framed),2026-03-26 14:00:15,EmCooper_TL_25,21,14,1,0
240326_TRNS_CleonPeter_Timed_25 - Preparing for dispatch,2026-03-25 18:00:38,CleonPeter_Timed_25,273,129,10,0
AUT_TomasSanchez_TL_26 - Launching in 3 days (framing spotlight),2026-03-25 17:56:17,TomasSanchez_TL_26,0,0,0,0
AUT_LucianFreud_TL_26 - Deep dive 1 (Q&A with David Dawson),2026-03-24 17:35:15,LucianFreud_TL_26,1132,262,55,5
170326_CUS_MaurizioC_WATR_Gold - outreach to gauge interest,2026-03-23 15:00:39,MaurizioC_LE_26,4864,1449,42,39
200326_TRNS_Email sent in error - Apology,2026-03-20 18:45:06,MickaleneT_TL_26,3134,535,7,31
200326_TRNS_MaurizioC_LE_26 - Printing PP (framed),2026-03-20 17:00:32,MaurizioC_LE_26,58,27,0,0
200326_TRNS_MaurizioC_LE_26 - Printing PP (framed & unframed) - Pre Feb 18 orders,2026-03-20 17:00:33,MaurizioC_LE_26,162,71,3,0
200326_TRNS_MaurizioC_LE_26 - Printing PP (unframed),2026-03-20 17:00:08,MaurizioC_LE_26,60,26,1,0
AUT_MickaleneT_TL_26 - Non-purchaser survey (TL Flow),2026-03-20 16:56:44,MickaleneT_TL_26,3188,348,72,5
200326_TRNS_CONDOPRINT - George Condo (2024 editions) COA Dispatch,2026-03-20 15:00:19,CONDOPRINT,244,169,147,0
AUT_MickaleneT_TL_26 - Edition Number Confirmed (PP TL Flow),2026-03-20 14:48:54,MickaleneT_TL_26,815,408,169,6
190326_TRNS_JohnsonTs_SE_25 - Preparing for dispatch,2026-03-19 13:00:35,JohnsonTs_SE_25,149,73,3,0
AUT_JeffKoons_LE_25 - Survey repeat buyers (LE),2026-03-19 12:52:51,JeffKoons_LE_25,182,110,56,0
AUT_JeffKoons_LE_25 - Survey first time collectors (LE),2026-03-19 12:51:57,JeffKoons_LE_25,225,126,67,1
190326_TRNS_TomoKazum_Shaped_25 - New estimated dispatch date,2026-03-19 11:00:28,TomoKazum_Shaped_25,41,23,1,0
AUT_MickaleneT_TL_26 - Survey first time collectors (PP TL Flow),2026-03-18 17:32:59,MickaleneT_TL_26,573,316,119,5
AUT_MickaleneT_TL_26 - Survey repeat buyers (PP TL Flow),2026-03-18 17:32:18,MickaleneT_TL_26,218,123,56,0
AUT_MickaleneT_TL_26 - Edition Closed (PP TL Flow),2026-03-18 17:18:31,MickaleneT_TL_26,745,312,61,5
180326_TRNS_ManRay_TL_25 - Printing PP (unframed),2026-03-18 17:00:58,ManRay_TL_25,185,78,2,0
180326_TRNS_ManRay_TL_25 - Printing PP (framed),2026-03-18 17:00:58,ManRay_TL_25,165,76,1,0
AUT_MickaleneT_TL_26 - Last Chance (TL Flow),2026-03-18 16:59:08,MickaleneT_TL_26,3276,480,185,9
180326_Drift_LE_25 - Last chance (LE),2026-03-18 14:00:28,Drift_LE_25,1434,510,121,3
180326_FREQ_LE_Bundle - DRIFT & Grant Riven Yun,2026-03-18 14:00:50,FREQ_LE_Bundle,66623,7511,813,380
AUT_MickaleneT_TL_26 - Halfway (TL Flow),2026-03-18 09:46:06,MickaleneT_TL_26,3336,520,216,15
170326_GEN_MickaleneT_TL_26 - Now Live (TL Non-flow),2026-03-17 16:45:55,MickaleneT_TL_26,70952,8744,1483,441
AUT_MickaleneT_TL_26 - Now Live (TL flow),2026-03-17 16:14:24,MickaleneT_TL_26,3521,806,489,14
160326_CUS_JeffKoons_LE_25 - Game Competition Missouts - New Sign Ups,2026-03-16 18:37:25,JeffKoons_LE_25,639,141,40,12
160326_CUS_JeffKoons_LE_25 - Game Top 100 Skip The Draw - New Sign Ups,2026-03-16 18:34:04,JeffKoons_LE_25,28,10,5,0
160326_CUS_JeffKoons_LE_25 - Game Competition Missouts,2026-03-16 17:10:21,JeffKoons_LE_25,1640,617,135,6
160326_CUS_JeffKoons_LE_25 - Game Top 100 Skip The Draw,2026-03-16 17:05:51,JeffKoons_LE_25,65,38,11,0
160326_GEN_JeffKoons_LE_25 - Last Chance 24 Hours (LE),2026-03-16 17:00:33,JeffKoons_LE_25,7135,1807,323,30
160326_INS_MickaleneT_TL_26 - Early Access for Insiders (Curtis),2026-03-16 17:00:02,INSIDERSEA,141,40,4,0
160326_INS_MickaleneT_TL_26 - Early Access for Insiders (Sam),2026-03-16 17:00:19,MickaleneT_TL_26,689,244,15,0
160326_CUS_MickaleneT_TL_26 - Early Access for past purchasers,2026-03-16 17:00:35,MickaleneT_TL_26,1557,564,205,1
160326_GEN_LucianFreud_TL_26 - Announcement (TL Non-flow),2026-03-16 14:00:23,LucianFreud_TL_26,134399,18377,3284,779
AUT_MickaleneT_TL_26 - Early Access (TL Flow),2026-03-16 12:51:40,ManRay_TL_25,3705,1139,730,21
AUT_LucianFreud_TL_26 - Non-purchaser survey (TL Flow),2026-03-16 12:13:30,LucianFreud_TL_26,1082,169,46,6
AUT_LucianFreud_TL_26 - Missed launch (TL Flow),2026-03-16 12:07:50,LucianFreud_TL_26,10,5,0,0
AUT_LucianFreud_TL_26 - TL Education (TL Flow),2026-03-16 11:49:00,LucianFreud_TL_26,596,130,27,7
AUT_LucianFreud_TL_26 - Welcome (TL FLow),2026-03-16 11:24:17,LucianFreud_TL_26,780,152,42,15
AUT_LucianFreud_TL_26 - Signup Confirmation (TL Flow),2026-03-16 10:54:09,LucianFreud_TL_26,1250,316,59,8
AUT_JeffKoons_LE_25 - Non-purchaser survey (LE),2026-03-16 10:48:05,JeffKoons_LE_25,1345,248,84,9
AUT_LucianFreud_TL_26 - Re-subscribe to artists & editions,2026-03-16 10:21:32,LucianFreud_TL_26,33,10,0,18
150326_GEN_JeffKoons_LE_25 - Last Chance 48 Hours (LE),2026-03-15 17:00:05,JeffKoons_LE_25,126718,13357,1342,615
AUT_MickaleneT_TL_26 - Framing deep dive 3,2026-03-13 17:08:06,MickaleneT_TL_26,1946,464,168,12
130326_CUS_GrantRiven_LE_26 - Announcement (LE) (Artist & Editions),2026-03-13 17:00:01,GrantRiven_LE_26,1837,65,23,2
130326_CUS_GrantRiven_LE_26 - Announcement (LE),2026-03-13 17:00:35,GrantRiven_LE_26,12140,2206,396,35
AUT_MickaleneT_TL_26 - Missed launch (TL Flow),2026-03-13 16:22:07,MickaleneT_TL_26,23,7,1,0
130326_TRNS_Katharina_TL_25 - Printing PP (unframed),2026-03-13 14:00:15,Katharina_TL_25,188,88,2,0
130326_TRNS_Katharina_TL_25 - Printing PP (framed),2026-03-13 14:00:04,Katharina_TL_25,106,43,2,0
120326_CUS_MickaleneT_TL_26 - Get ready for Launch,2026-03-12 17:00:44,MickaleneT_TL_26,20819,2646,714,88
120326_TRNS_AiWeiwei_NVase_25 - On track 2 (batch 1),2026-03-12 14:00:47,AiWeiwei_NVase_25,52,24,1,0
110326_TRNS_AlexKatz_H2_25 - Let us know everything is ok (framed),2026-03-11 17:30:41,AlexKatz_H2_25,95,25,0,0
110326_INS_GrantRiven_LE_26 - Early Access for Insiders (Curtis),2026-03-11 17:00:38,INSIDERSEA,156,39,7,0
110326_CUS_GrantRiven_LE_26 - Early Access (LE),2026-03-11 17:00:33,GrantRiven_LE_26,2563,411,154,9
110326_INS_GrantRiven_LE_26 - Early Access for Insiders (Sam),2026-03-11 17:00:30,INSIDERSEA,761,239,58,1
110326_GEN_SURVEY - Collector Insights report 2026,2026-03-11 16:00:36,Survey_Completion,103105,10075,870,517
110326_GEN_SURVEY - Collector Insights report 2026 (Clone),2026-03-11 15:30:13,Survey_Completion,1,1,1,0
TEST - Collector Insights report 2026,2026-03-10 16:53:36,Survey_Completion,1,1,1,0
AUT_EmCooper_TL_25 - Edition Number Confirmed (PP TL Flow),2026-03-10 09:45:38,EmCooper_TL_25,40,21,7,0
AUT_JeanMichel_LE_25 - Non-purchaser survey (LE),2026-03-10 09:40:45,JeanMichel_LE_25,280,40,11,0
AUT_JeanMichel_LE_25 - Survey repeat buyers (LE),2026-03-10 09:29:14,JeanMichel_LE_25,32,29,16,0
AUT_JeanMichel_LE_25 - Survey first time collectors (LE),2026-03-10 09:26:49,JeanMichel_LE_25,66,29,13,0
090326_GEN_500_Complete_your_collector_profile - 2026 Survey - Mop Up,2026-03-09 17:00:42,Survey_Completion,27075,4526,1384,250
090326_TRNS_AiWeiwei_NVase_25 - On track (Batch 2),2026-03-09 14:00:56,AiWeiwei_NVase_25,141,64,2,0
090326_TRNS_AiWeiwei_NVase_25 - On track (Batch 3),2026-03-09 14:00:40,AiWeiwei_NVase_25,225,87,0,0
060326_TRNS_AiWeiwei_SelfPortrait_26 - Production in progress (All),2026-03-06 17:00:02,AiWeiwei_SelfPortrait_26,108,53,3,0
AUT_MickaleneT_TL_26 - Deep dive 2,2026-03-06 12:03:52,MickaleneT_TL_26,3201,688,185,13
050326_TRNS_TomasSanchez_TL_26 - Printing PP (unframed),2026-03-05 17:00:42,TomasSanchez_TL_26,425,194,11,0
050326_TRNS_TomasSanchez_TL_26 - Printing PP (framed),2026-03-05 17:00:05,TomasSanchez_TL_26,176,95,1,0
AUT_EmCooper_TL_25 - Survey repeat buyers (PP TL Flow),2026-03-05 16:08:01,EmCooper_TL_25,4,2,1,0
AUT_EmCooper_TL_25 - Survey first time collectors (PP TL Flow),2026-03-05 16:05:10,EmCooper_TL_25,36,20,11,0
"050326_FREQ_LE_Bundle - DRIFT, Jeff Koons & Luc Tuymans (Frequency Group B & D)",2026-03-05 16:00:54,FREQ_LE_Bundle,66890,7962,1035,388
AUT_EmCooper_TL_25 - Edition Closed (PP TL Flow),2026-03-05 15:44:51,EmCooper_TL_25,39,19,9,0
050326_CUS_MaurizioC_WATR_Gold - Draw Miss Outs - US,2026-03-05 15:00:08,MaurizioC_WATR_Gold,112,46,33,0
050326_CUS_MaurizioC_WATR_Gold - Draw Miss Outs - NON US,2026-03-05 15:00:41,MaurizioC_WATR_Gold,556,205,132,5
AUT_EmCooper_TL_25 - Non-purchaser survey (TL Flow),2026-03-05 11:19:25,EmCooper_TL_25,319,31,3,0
AUT_EmCooper_TL_25 - Last chance (TL Flow),2026-03-05 11:03:30,EmCooper_TL_25,324,42,17,4
040326_TRNS_KeitaMor_TL_25 - Preparing for dispatch (framed),2026-03-05 10:00:54,KeitaMor_TL_25,181,95,3,0
AUT_EmCooper_TL_25 - Halfway (TL Flow),2026-03-05 09:19:22,EmCooper_TL_25,329,43,8,1
030326_CUS_JeffKoons_LE_25 - Sustain (LE),2026-03-04 17:15:39,JeffKoons_LE_25,44580,7293,526,336
040326_TRNS_Pejac_Repeat_26 - Dispatch delay (Black & Nutwood),2026-03-04 15:00:01,Pejac_Repeat_26,25,16,0,0
040326_TRNS_Pejac_Repeat_26 - Dispatch delay (White),2026-03-04 15:00:07,Pejac_Repeat_26,18,8,1,0
AUT_EmCooper_TL_25 - Now Live (TL Non-flow),2026-03-04 14:00:30,EmCooper_TL_25,66938,7798,707,413
"040326_CUS_JeanMichel_LE_25 - Kokoro Gold Miss Outs, Red Available (draw follow up)",2026-03-04 13:00:54,JeanMichel_LE_25,21,9,7,0
AUT_EmCooper_TL_25 - Now Live (TL Flow),2026-03-04 10:59:13,EmCooper_TL_25,335,53,21,0
030326_TRNS_MaurizioC_Rev_25 - New estimated dispatch date (batch 1),2026-03-03 17:00:30,MaurizioC_Rev_25,90,48,2,0
030326_TRNS_MaurizioC_Rev_25 - New estimated dispatch date (remaining batches),2026-03-03 17:00:31,MaurizioC_Rev_25,875,412,11,0
030326_TRNS_MarinaAbr-1502 - Printing PP (framed),2026-03-03 17:00:26,MarinaAbr-1502,404,159,8,0
030326_TRNS_MarinaAbr-1502 - Printing PP (unframed),2026-03-03 17:00:19,MarinaAbr-1502,613,304,18,0
030326_CUS_LucTuymans_LE_26 - Announcement (LE),2026-03-03 16:00:31,LucTuymans_LE_26,6816,1323,256,56
030326_INS_EmCooper_TL_25 - Early Access for Insiders (Sam),2026-03-03 14:00:17,INSIDERSEA,756,201,30,1
030326_INS_EmCooper_TL_25 - Early Access for Insiders (Curtis),2026-03-03 14:00:02,INSIDERSEA,157,34,6,0
030326_TRNS_JohnsonTs_SE_25 - On track,2026-03-03 13:00:53,JohnsonTs_SE_25,149,76,2,0
AUT_EmCooper_TL_25 - Early Access (TL Flow),2026-03-03 10:02:06,EmCooper_TL_25,341,82,34,4
020326_TRNS_LeeUfan_LE_26 - Framing Delay PP (select orders),2026-03-02 17:00:48,LeeUfan_LE_26,7,3,0,0
020326_TRNS_CindySher_TL_25 - Framing Delay PP (select orders),2026-03-02 17:00:44,CindySher_TL_25,39,22,1,0
020326_CUS_MaurizioC_WATR_Gold - Top Tiers - NON US,2026-03-02 15:00:37,MaurizioC_WATR_Gold,46,33,28,0
020326_TRNS_CleonPeter_Timed_25 - On track (3),2026-03-02 15:00:15,CleonPeter_Timed_25,270,108,7,0
020326_CUS_MaurizioC_WATR_Gold - Top Tiers - US,2026-03-02 15:00:07,MaurizioC_WATR_Gold,21,14,12,0
010326_Jean-Michel Othoniel - Last chance (LE),2026-03-02 12:00:54,JeanMichel_LE_25,560,152,32,1
AUT_EmCooper_TL_25 - Deep dive 2 (Unpacking the editions),2026-02-27 18:07:01,EmCooper_TL_25,217,42,8,0
AUT_MickaleneT_TL_26 - TL Education (TL Flow),2026-02-27 18:02:04,MickaleneT_TL_26,2193,500,90,16
270226_INS_LucTuymans_LE_26 - Early Access for Insiders (Curtis),2026-02-27 16:00:56,INSIDERSEA,157,55,14,0
270226_CUS_LucTuymans_LE_26 - Early Access (LE),2026-02-27 16:00:19,LucTuymans_LE_26,2464,602,174,15
270226_INS_LucTuymans_LE_26 - Early Access for Insiders (Sam),2026-02-27 16:00:17,INSIDERSEA,753,292,50,1
270226_TRNS_AiWeiwei_NVase_25 - On track (batch 1),2026-02-27 14:00:40,AiWeiwei_NVase_25,51,19,0,0
200226_CUS_AWWNT_26 - Rohingya Announcement,2026-02-27 11:00:49,AWWNT_26,12897,2411,225,64
AUT_MickaleneT_TL_26 - Deep dive 1,2026-02-27 09:35:26,MickaleneT_TL_26,3352,799,287,17
260226_Monthly_Round_Up - New & Noteworthy,2026-02-26 17:00:27,The_Monthly_Edit,128,40,6,10
AUT_AWWNT_26 - Rohingya Password,2026-02-26 16:44:23,AWWNT_26,2222,1354,1062,0
"260226_FREQ_LE_Bundle - DRIFT, Jean-Michel, Jeff Koons (Frequency Group B & D)",2026-02-26 15:00:28,FREQ_LE_Bundle,61477,7773,1032,374
250226_CUS_MaurizioC_WATR_Gold - Exclusive look - NON US,2026-02-25 15:00:10,MaurizioC_WATR_Gold,159,102,83,0
250226_CUS_MaurizioC_WATR_Gold - Exclusive look - US,2026-02-25 15:00:28,MaurizioC_WATR_Gold,73,48,37,0
AUT_250226_CUS_AiWeiwei_FingerSE_25 - Announcement (10% Demand test),2026-02-25 14:23:23,AiWeiwei_FingerSE_25,14190,2188,494,117
AUT_TL Educational 2 (TL Flow),2026-02-24 17:56:23,Welcome_Evergreen,0,0,0,0
AUT_TL Educational (TL Flow),2026-02-24 17:21:47,Welcome_Evergreen,2,0,0,0
AUT_EmCooper_TL_25 - Deep dive 1 (Inside The Beatles’ dreamlike world),2026-02-24 14:04:01,EmCooper_TL_25,339,62,14,1
AUT_Katharina_TL_25 - Survey repeat buyers (PP TL Flow),2026-02-24 10:19:28,Katharina_TL_25,71,43,19,0
AUT_Katharina_TL_25 - Survey first time collectors (PP TL Flow),2026-02-24 10:18:52,Katharina_TL_25,200,101,53,1
Testing estate question (no) - Survey first time collectors (LE) (Clone),2026-02-24 10:13:30,MaurizioC_LE_26,1,1,1,0
Testing estate question - Survey first time collectors (LE),2026-02-24 09:41:02,MaurizioC_LE_26,1,1,1,0
230226_CUS_MaurizioC_LE_26 - Email from Sam to Maurizio (Window) missouts,2026-02-23 17:00:41,MaurizioC_LE_26,209,128,3,3
230226_GEN_JeffKoons_LE_25 - Game Announcement (LE),2026-02-23 17:00:19,JeffKoons_LE_25,129978,19605,3273,727
AUT_MaurizioC_LE_26 - Non-purchaser survey (LE),2026-02-23 11:05:01,MaurizioC_LE_26,915,276,93,6
AUT_MaurizioC_LE_26 - Survey repeat buyers (LE),2026-02-23 11:01:11,MaurizioC_LE_26,151,96,45,0
AUT_MaurizioC_LE_26 - Survey first time collectors (LE),2026-02-23 10:59:21,MaurizioC_LE_26,91,52,30,0
AUT_Katharina_TL_25 - Edition Number Confirmed (PP TL Flow),2026-02-23 10:44:25,Katharina_TL_25,283,167,56,0
210226_GEN_MickaleneT_TL_26 - Announcement (2),2026-02-21 17:00:19,MickaleneT_TL_26,6113,1296,247,27
200226_TRNS_KeitaMor_TL_25 - Message from the artist,2026-02-21 17:00:54,KeitaMor_TL_25,462,237,5,0
200226_CUS_MickaleneT_TL_26 - Announcement (Artist & editions subscribers),2026-02-20 17:00:54,MickaleneT_TL_26,12,5,4,0
200226_GEN_MickaleneT_TL_26 - Announcement,2026-02-20 17:00:31,MickaleneT_TL_26,128814,18932,3634,855
190226_CUS_Drift_LE_25 - Announcement (LE),2026-02-20 17:00:26,Drift_LE_25,6152,1447,348,16
AUT_ManRay_TL_25 - Edition Number Confirmed (PP TL Flow),2026-02-20 11:34:58,ManRay_TL_25,341,166,34,0
AUT_Katharina_TL_25 - Edition Closed (PP TL Flow),2026-02-20 11:14:22,Katharina_TL_25,266,140,52,0
180226_GEN_JeffKoons_LE_25 - Announcement (LE),2026-02-19 17:00:10,JeffKoons_LE_25,129856,21094,5114,736
190226_TRNS_JamesJean_Sun_25 - On track 2 (Sculpture & print),2026-02-19 17:00:38,JamesJean_Sun_25,175,84,2,0
180226_TRNS_TomoKazum_Shaped_25 - Dispatch delay,2026-02-19 17:00:53,TomoKazum_Shaped_25,41,20,2,0
190225_CUS_SALES Curtis - NON US - March Monthly Preview,2026-02-19 14:00:28,MONTHLYPREV,119,37,23,1
190225_CUS_SALES Curtis - US - March Monthly Preview,2026-02-19 14:00:02,MONTHLYPREV,38,15,5,0
190225_CUS_SALES Sam - NON US - March Monthly Preview,2026-02-19 14:00:35,MONTHLYPREV,873,407,256,1
190225_CUS_SALES Sam - US - March Monthly Preview,2026-02-19 14:00:16,MONTHLYPREV,478,225,150,1
190226_CUS_LeeUfan_LE_26 - Thank you from Dia,2026-02-19 12:00:45,LeeUfan_LE_26,113,52,3,0
AUT_ManRay_TL_25 - Last Chance (TL Flow),2026-02-19 11:42:31,ManRay_TL_25,2538,418,135,28
180226_CUS_ManRay_TL_25 - Halfway (TL Non-flow),2026-02-18 17:00:07,ManRay_TL_25,1759,638,235,10
